project_id,camera_check_tbl_id,camera_label,station_id,check_date,treatment,bait,feature,camera_status,media_recovered,quiet_period,battery,sensitivity,images_per_trigger,camera_height,camera_angle,camera_bearing,camera_distance,stop_date
MK,359,WC158,MK06,2019-08-30 00:00:00,N facing,None,"Road, dirt",Active in field,t,0,100,100,1,1.74,0,0,,2020-06-05 00:00:00
MK,360,WC158,MK06,2020-06-05 00:00:00,N facing,None,"Road, dirt",Active in field,t,0,100,100,1,1.74,0,0,,2020-08-28 00:00:00
MK,364,WC101,MK07,2021-06-03 00:00:00,E facing (facing upslope of hill that should block majority of sunlight),None,"Road, dirt",Wildlife Damage,t,0,100,100,1,2.11,0,0,,
MK,374,WC094,MK12,2019-08-29 00:00:00,NW-facing,None,"Road, dirt",Active in field,t,0,100,100,1,1.13,0,0,,2020-06-05 00:00:00
MK,380,WC174,MK13,2020-06-11 00:00:00,doug/cedar stand,None,"Road, paved",Active in field,f,1,100,100,1,0.53,0,0,3.93,2020-08-28 00:00:00
MK,379,WC099,MK13,2020-06-11 00:00:00,NNW-facing,None,"Road, dirt",Wildlife Damage,t,0,100,100,1,1.54,0,0,,
MK,356,WC200,MK05,2019-08-29 00:00:00,Facing S,None,"Road, paved",Active in field,t,0,100,100,1,0.54,0,0,,2020-06-05 00:00:00
MK,361,WC158,MK06,2020-08-28 00:00:00,N facing,None,"Road, dirt",Active in field,t,0,100,100,1,1.74,0,0,,2021-04-11 00:00:00
MK,365,WC093,MK08,2020-06-05 00:00:00,N-facing,None,"Trail, game",Active in field,t,0,100,100,1,1.13,0,0,,2020-08-25 00:00:00
MK,372,WC095,MK11,2020-06-13 00:00:00,N-facing,None,"Trail, game",Active in field,t,0,100,100,1,1.75,0,0,,2020-09-01 00:00:00
MK,376,WC094,MK12,2020-08-25 00:00:00,NW-facing,None,"Road, dirt",Wildlife Damage,t,0,100,100,1,1.13,0,0,,
MK,393,WC233,MKRF1,2020-09-01 00:00:00,NA,None,"Trail, hiking/people",Active in field,t,1,100,100,1,0.74,0,0,,2020-11-14 00:00:00
MK,367,WC136,MK09,2020-05-29 00:00:00,E-facing,None,"Road, dirt",Active in field,t,1,100,100,1,1,0,0,,2020-08-25 00:00:00
MK,368,WC136,MK09,2020-08-25 00:00:00,E-facing,None,"Road, dirt",Active in field,t,1,100,100,1,1,0,0,,2021-06-03 00:00:00
MK,370,WC096,MK10,2020-09-01 00:00:00,N-facing,None,"Trail, game",Wildlife Damage,t,0,100,100,1,0.83,0,0,,
